Date,Closing Value
6/10/2009,1853.079956
6/9/2009,1860.130005
6/8/2009,1842.400024
6/5/2009,1849.420044
6/4/2009,1850.02002
6/3/2009,1825.920044
6/2/2009,1836.800049
6/1/2009,1828.680054
5/29/2009,1774.329956
5/28/2009,1751.790039
5/27/2009,1731.079956
5/26/2009,1750.430054
5/22/2009,1692.01001
5/21/2009,1695.25
5/20/2009,1727.839966
5/19/2009,1734.540039
5/18/2009,1732.359985
5/15/2009,1680.140015
5/14/2009,1689.209961
5/13/2009,1664.189941
5/12/2009,1715.920044
5/11/2009,1731.23999
5/8/2009,1739
5/7/2009,1716.23999
5/6/2009,1759.099976
5/5/2009,1754.119995
5/4/2009,1763.560059
5/1/2009,1719.199951
4/30/2009,1717.300049
4/29/2009,1711.939941
4/28/2009,1673.810059
4/27/2009,1679.410034
4/24/2009,1694.290039
4/23/2009,1652.209961
4/22/2009,1646.119995
4/21/2009,1643.849976
4/20/2009,1608.209961
4/17/2009,1673.069946
4/16/2009,1670.439941
4/15/2009,1626.800049
4/14/2009,1625.719971
4/13/2009,1653.310059
4/9/2009,1652.540039
4/8/2009,1590.660034
4/7/2009,1561.609985
4/6/2009,1606.709961
4/3/2009,1621.869995
4/2/2009,1602.630005
4/1/2009,1551.599976
3/31/2009,1528.589966
3/30/2009,1501.800049
3/27/2009,1545.199951
3/26/2009,1587
3/25/2009,1528.949951
3/24/2009,1516.52002
3/23/2009,1555.77002
3/20/2009,1457.27002
3/19/2009,1483.47998
3/18/2009,1491.219971
3/17/2009,1462.109985
3/16/2009,1404.02002
3/13/2009,1431.5
3/12/2009,1426.099976
3/11/2009,1371.640015
3/10/2009,1358.280029
3/9/2009,1268.640015
3/6/2009,1293.849976
3/5/2009,1299.589966
3/4/2009,1353.73999
3/3/2009,1321.01001
3/2/2009,1322.849976
2/27/2009,1377.839966
2/26/2009,1391.469971
2/25/2009,1425.430054
2/24/2009,1441.829956
2/23/2009,1387.719971
2/20/2009,1441.22998
2/19/2009,1442.819946
2/18/2009,1467.969971
2/17/2009,1470.660034
2/13/2009,1534.359985
2/12/2009,1541.709961
2/11/2009,1530.5
2/10/2009,1524.72998
2/9/2009,1591.560059
2/6/2009,1591.709961
2/5/2009,1546.23999
2/4/2009,1515.050049
2/3/2009,1516.300049
2/2/2009,1494.430054
1/30/2009,1476.420044
1/29/2009,1507.839966
1/28/2009,1558.339966
1/27/2009,1504.900024
1/26/2009,1489.459961
1/23/2009,1477.290039
1/22/2009,1465.48999
1/21/2009,1507.069946
1/20/2009,1440.859985
1/16/2009,1529.329956
1/15/2009,1511.839966
1/14/2009,1489.640015
1/13/2009,1546.459961
1/12/2009,1538.790039
1/9/2009,1571.589966
1/8/2009,1617.01001
1/7/2009,1599.060059
1/6/2009,1652.380005
1/5/2009,1628.030029
1/2/2009,1632.209961
12/31/2008,1577.030029
12/30/2008,1550.699951
12/29/2008,1510.319946
12/26/2008,1530.23999
12/24/2008,1524.900024
12/23/2008,1521.540039
12/22/2008,1532.349976
12/19/2008,1564.319946
12/18/2008,1552.369995
12/17/2008,1579.310059
12/16/2008,1589.890015
12/15/2008,1508.339966
12/12/2008,1540.719971
12/11/2008,1507.880005
12/10/2008,1565.47998
