Date,Boeing,MacDonalds,Nike,Walmart
7/20/2017,198.142014,142.434448,57.010849,70.656342
7/21/2017,199.894669,142.16658,57.830795,70.777184
7/24/2017,199.932343,140.254654,56.86615,71.464973
7/25/2017,200.196228,146.92337,57.290592,72.979942
7/26/2017,219.974594,144.558823,56.296997,73.333153
7/27/2017,227.088776,144.965225,56.094429,74.151062
7/28/2017,227.343231,143.949234,56.596039,74.17894
7/31/2017,228.464523,143.293427,56.962612,74.346237
8/1/2017,225.618835,142.277435,57.724682,74.820259
8/2/2017,224.214828,144.632706,57.676453,74.848145
8/3/2017,224.497559,142.905518,58.01408,75.164154
8/4/2017,223.988708,142.074234,57.647507,74.801666
8/7/2017,226.363235,143.136429,57.676453,75.545235
8/8/2017,225.675369,143.09021,57.35812,75.833359
8/9/2017,222.101807,143.09021,57.782566,76.329063
8/10/2017,220.746307,144.660385,56.981899,75.440536
8/11/2017,222.642105,145.288498,56.885445,75.19735
8/14/2017,224.793823,145.251541,57.666809,75.477951
8/15/2017,226.708572,145.584061,56.489929,75.543404
8/16/2017,225.210907,146.766312,56.470642,75.739822
8/17/2017,223.315094,145.833466,55.428822,74.542625
8/18/2017,223.485703,145.713379,53.007545,74.177895
8/21/2017,223.400406,146.267548,51.714912,74.551994
8/22/2017,227.258362,147.449829,52.216534,74.841934
8/23/2017,225.68486,146.683197,51.714912,74.78582
8/24/2017,226.30098,146.313751,51.936775,73.270645
8/25/2017,223.599487,146.692429,51.994667,73.541878
8/28/2017,224.822266,147.477493,51.830669,72.980713
8/29/2017,227.959808,147.209656,50.866016,73.672836
8/30/2017,227.931396,148.222412,50.70203,73.45771
8/31/2017,227.173035,148.631241,51.118252,73.01812
9/1/2017,227.808151,148.482574,51.650635,73.298721
9/5/2017,224.651642,147.822876,51.311848,74.636185
9/6/2017,222.395615,147.00528,51.069851,74.898064
9/7/2017,223.997604,148.566177,50.7117,74.935478
9/8/2017,226.338882,148.389664,50.527798,73.775711
9/11/2017,228.054611,150.080643,51.331207,73.962784
9/12/2017,228.045105,145.249222,51.689354,74.458473
9/13/2017,229.324783,145.871765,51.805508,74.692307
